Ano;Trimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;Unnamed: 14;Instituiï¿½ï¿½o financeira;ï¿½ndice;Quantidade de reclamaï¿½ï¿½es reguladas procedentes;Quantidade de reclamaï¿½ï¿½es reguladas - outras;Quantidade de reclamaï¿½ï¿½es nï¿½o reguladas;Quantidade total de reclamaï¿½ï¿½es;Quantidade total de clientes ï¿½ CCS e SCR;Quantidade de clientes ï¿½ CCS;Quantidade de clientes ï¿½ SCR
2021;3º;Demais bancos e financeiras;Conglomerado; ;GRUPO ZEMA (conglomerado); ;1.0;4.0;4.0;9.0;461496;577;460937;;;;;;;;;;
2021;3º;Demais bancos e financeiras;Conglomerado; ;HERVAL - HS (conglomerado); ;10.0;1.0;3.0;14.0;219957;22813;202041;;;;;;;;;;
2021;3º;Demais bancos e financeiras;Conglomerado; ;HONDA (conglomerado); ;5.0;7.0;7.0;19.0;428225;106;428199;;;;;;;;;;
2021;3º;Demais bancos e financeiras;Banco/financeira;17453575;ICBC DO BRASIL BANCO MÚLTIPLO S.A.; ;0.0;1.0;0.0;1.0;187;175;24;;;;;;;;;;
2021;3º;Demais bancos e financeiras;Conglomerado; ;INDUSTRIAL DO BRASIL (conglomerado); ;10.0;18.0;4.0;32.0;63911;4519;60187;;;;;;;;;;
2021;3º;Top 10 - Bancos e Financeiras;Conglomerado; ;INTER (conglomerado);55,99;746.0;732.0;298.0;1776.0;13323223;13217210;1954815;;;;;;;;;;
2021;3º;Top 10 - Bancos e Financeiras;Conglomerado; ;ITAU (conglomerado);15,05;1318.0;3194.0;2338.0;6850.0;87568455;68959837;50906457;;;;;;;;;;
2021;3º;Demais bancos e financeiras;Banco/financeira;04230630;JBCRED S.A. SOCIEDADE DE CREDITO, FINANCIAMENTO E INVESTIMENTO; ;0.0;6.0;1.0;7.0;52001; ;52001;;;;;;;;;;
2021;3º;Demais bancos e financeiras;Banco/financeira;11271860;LEBES FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;1.0;2.0;0.0;3.0;249991;4;249987;;;;;;;;;;
2021;3º;Demais bancos e financeiras;Conglomerado; ;LECCA (conglomerado); ;3.0;4.0;2.0;9.0;27668;330;27340;;;;;;;;;;
