Segmento;CNPJ;Nome
S4;10853017;GET MONEYLTDA
S4;21040668;GLOBAL EXCHANGE BR SOC.LTDA
S4;7631026;GOLCREDCFI
S4;23010182;GOODLTDA
S4;65982589;GRACO C.C.
S4;33918160;GRADUAL
S4;6339468;GRAZZIOTIN FINANCIADORA SA CFI
S4;24074692;GUITTALTDA
S4;1788147;H.COMMCOR.
S4;17312083;H.H.PICCHIONI
S4;3634220;HONDA
S4;34974170;HOYA CVC.
S4;97406706;HP FINANCIAL SERVICES AM
S4;7512441;HS FINANCEIRA
S4;53518684;HSBC
S4;9105360;ICAP DO BRASIL CTVM.
S4;72556996;ICAROLTDA
S4;3282508;ICATU
S4;17453575;ICBC DO BRASIL
S4;31895683;INDUSTRIAL DO BRASIL
S4;61024352;INDUSVAL
S4;3014007;INFINITY
S4;34265629;INTERCAMLTDA
S4;416968;INTERMEDIUM
S4;55230916;INTESA SANPAOLO BRASIL
S4;62090873;INTL FCSTONE.
S4;15489568;INTRADER
S4;69078350;J ALVESLTDA
S4;14388334;J.MALUCELLI
S4;14035129;JGP.
S4;20283069;JN-MAXILTDA.
S4;91884981;JOHN DEERE
S4;1852137;JSL A.M.
S4;34266668;KRAUSSCC
S4;6040559;KREDILIGCFI
S4;6132348;LABOR CC
S4;71590442;LASTRO RDV
S4;4836002;LEASEPLAN AM
S4;11271860;LEBES FINANCEIRA CFI SA
S4;7652226;LECCA
S4;61973863;LEROSA CVC
S4;50579044;LEVYCAM CCV
S4;24361690;LIMINE TRUST.
S4;15122605;LUMINA CC
S4;61723847;MAGLIANO CCVM
S4;33923798;M�XIMA
S4;15077393;MEGALTDA.
S4;13839639;MELHORLTDA.
S4;9464032;MIDWAYSCFI
S4;12392983;MIRAE ASSET
S4;61088183;MIZUHO
S4;97447304;MOMENTO.
S4;12063256;MONETAR
S4;34666362;MONOP�LIOLTDA.
S4;19307785;MSB BANK BANCO C�MBIO
S4;12586596;MULTIMONEYLTDA.
S4;25674235;MUNDINVESTCCVM
S4;18941229;MUTUAL APETRIM CI
S4;9274232;NATIXIS BRASIL
S4;4379829;NEGRESCOCFI
S4;65635377;NGO ASSOCIADOSLTDA.
S4;76637263;NOMINAL
S4;4257795;NOVA FUTURA CTVM.
S4;43060029;NOVINVEST CVM
S4;74828799;NOVO BANCO CONTINENTALBM
S4;8609934;NOVO MUNDOS.A.
S4;40161713;NSG CAPITAL
S4;18145784;NUMATURLTDA
S4;68742204;NUMBER ONE SCC.
S4;76633486;OLIVEIRA FRANCO SCVM
S4;36113876;OLIVEIRA TRUST
S4;11495073;OM
S4;92228410;OMNI
S4;7333726;ONNIXLTDA.
S4;1582158;OPPORTUNITY
S4;13293225;�RAMA
S4;92904564;ORLA
S4;78632767;OURINVEST
S4;73279093;PACIFIC INVEST
S4;3311443;PARATICFI
S4;20155248;PARMETAL
S4;59615005;PATA��O.
S4;17343682;PENTAGONO
S4;43180355;PERNAMBUCANAS
S4;11758741;PETRA
S4;11836226;PIAU� FOMENTO
S4;92875780;PILLA CCVM
S4;806535;PLANNER
S4;17902616;POLOLTDA.
S4;4862600;PORTO SEGURO
S4;1800019;PORTOCREDCFI
S4;36178887;PROSPER CVC
S4;11476673;RANDON
S4;89960090;RB CAPITAL.
S4;4215594;RELIANCE.
S4;62287735;RENASCENCA
S4;68900810;RENDIMENTO
S4;13434335;RICO CTVM
S4;72600026;RIO BRAVO INV.
S4;42066258;RJI
S4;33603457;RODOBENS
S4;67391821;S. HAYATAS.A.
S4;5503849;SANTANACFI
S4;122327;SANTINVEST
S4;7747410;SAX CFI
S4;11417016;SCANIA
S4;29030467;SCOTIABANK BRASIL
S4;21148439;SEALANDAIRLTDA.
S4;11970623;SENFFCFI
S4;17352220;SENSO CCVM
S4;42898825;SICOOB CREDICOMCOOPERATIVA DE ECONOMIA E CR�DITO M�TUO DOS M�DICOS E PROFISSIONAIS DA �REA DE SA�DE DE MINAS GERAIS.
S4;15227994;SIMPLIFIC PAVARINI
S4;16854999;SINGRATURLTDA.
S4;22639377;SINOSSERRASCFI
S4;17315359;SITA SCCVM
S4;50657675;SLW CVC
S4;3881423;SOCINAL CFI
S4;61820817;SOCOPA
S4;60889128;SOFISA
S4;8520517;SOL CC
S4;96477906;SOLIDEZ.
S4;68757681;SOLIDUS CCVM
S4;4814563;SOROCRED CFI
S4;61739629;SPINELLI CVMC
S4;11932017;STANDARDARTERED BI
S4;17359351;STARA FINANCEIRACFI
S4;32206435;SUL AMERICA INVEST
